description,cluster
azure storage connectivity issues tracking id psmbq happenedbetween utc utc november platform issue resulted impact following services subset customers azure storage dns resolution failures connecting azure storage accountazure databricks failures launching clusters serverless compute resources due dns resolution failures azure storage accountshow respond engaged additional teams help troubleshoot issue determined issue dns resolution azure storage accounts causing impact rolled mitigation issue customers would seen recovery progressedwhat happens next team completing internal retrospective understand incident detail publish preliminary post incident review pir within approximately hours share details happened responded internal retrospective completed generally within days publish final post incident review additional details learningsto get notified happens andor stay informed future azure service issues make sure configure maintain azure service health alerts trigger emails sms push notifications webhooks httpsakamsashalerts information post incident reviews refer httpsakamsazurepirs impact times represent full incident duration specific individual customer actual impact service availability may vary customers resources guidance implementing monitoring understand granular impact httpsakamsazpirmonitoring finally broader guidance preparing cloud incidents refer httpsakamsincidentreadiness,2
mitigated azure networking issue azure china tracking id mmrv happenedstarting cst china standard time october microsoft identified increase traffic china telecom network azure commercial cloud increase causing higher latency packet loss communications services hosted commercial cloud azure china cloud customers using china telecom access services hosted azure commercial cloud may also seen impact azure engineers worked china telecom mitigate issue azure china cloud commercial cloudat cst traffic conditions reverted normal state azure china azure commercial cloud services mitigated azure engineers continue work china telecom monitor traffic happens nextour team completing internal retrospective understand incident detail publish preliminary post incident review pir within approximately hours share details happened responded internal retrospective completed generally within days publish final post incident review additional details learningsto get notified happens andor stay informed future azure service issues make sure configure maintain azure service health alerts trigger emails sms push notifications webhooks httpsakamsashalerts information post incident reviews refer httpsakamsazurepirs impact times represent full incident duration specific individual customer actual impact service availability may vary customers resources guidance implementing monitoring understand granular impact httpsakamsazpirmonitoring finally broader guidance preparing cloud incidents refer httpsakamsincidentreadiness,2
post incident review pir azure resource manager issues azure us government regions tracking id hskffb watch azure incident retrospective video incident httpsakamsairhskffbwhat happenedbetween edt september platform issue impacted azure resource manager arm service azure us government regions impacted customers may experienced issues attempting control plane operations including create update delete operations resources azure gov cloud including us gov arizona us gov texas andor us gov virginia regionsthe incident also impacted downstream services dependent arm including azure app service azure application insights azure automation azure backup azure data factory azure databricks azure event grid azure kubernetes service azure log search alerts azure maps azure monitor azure netapp files azure portal azure privileged identity management azure red hat openshift azure search azure site recovery azure storage azure synapse azure traffic manager azure virtual desktop microsoft purviewwhat went wrong whythis issue initially flagged monitors detecting success rate failures upon investigating discovered backend cosmos db misconfigured block legitimate access azure resource manager arm prevented arm serving requests account global cosmos db accounts replicated multiple regions configuration settings global account misconfigured change immediately applied replicas impacting arm regions understood misconfiguration reverted fully mitigated customer impact misconfigured account tracking azure feature exposure control state managing feature state resource provider using entra authentication appropriate however also critical part processing requests arm call behavior may change depending feature flags subscription assignedthe cosmos db account managing state incorrectly attributed resource provider platform rather core arm processing since resource provider platform completed migration entra authorization cosmos db accounts service disabling local authentication accounts owns part secure futures initiative details see httpswwwmicrosoftcomtrustcentersecuritysecurefutureinitiativesince account question used track exposure control state azure features misattributed part resource provider platform included update accounts since entra depends arm arm avoids using entra authentication cosmos db prevent circular dependencieshow respond september edt customer impact began triggered misconfiguration applied underlying cosmos db september edt monitoring detected success rate failures oncall teams engaged investigate september edt investigations confirmed cause cosmos db misconfiguration september edt customer impact mitigated reverting misconfiguration making incidents like less likely less impactfulwe moving impacted cosmos db account isolated subscription derisk failure mode estimated completion october furthermore apply management locks prevent edits specific account given criticality estimated completion october longer term cosmos db team updating processes roll account configuration changes staggered fashion derisk impact changes like one estimated completion january customers make incidents like less impactfulthere nothing customers could done prevent minimize impact specific arm incidentthe impact times represent full incident duration specific individual customer actual impact service availability varied customers resources guidance implementing monitoring understand granular impact httpsakamsazpirmonitoringfinally consider ensuring right people organization notified future service issues configuring azure service health alerts trigger emails sms push notifications webhooks httpsakamsazpiralertshow make incident communications usefulyou rate pir provide feedback using quick question survey httpsakamsazpirhskffb,0
post incident review pir azure virtual desktop unable create new connections impacting us regions tracking id lgx watch azure incident retrospective video incident httpsakamsairlgxwhat happenedbetween utc utc september platform issue resulted impact subset customers using azure virtual desktop several us regions specifically azure virtual desktop configuration metadata stored us geography host east us region impacted customers may experienced failures access list available resources make new connections perform management actions azure virtual desktop resourcesthis event impacted customers following us regions central us east us east us north central us south central us west central us west us west us west us end users connections established via us regions may also impacted connection routing determined dynamically route end users nearest azure virtual desktop gateway information process found httpslearnmicrosoftcomazurevirtualdesktopservicearchitectureresilienceuserconnectionswhat went wrong whyazure virtual desktop avd relies multiple technologies including sql database store configuration data avd region database multiple secondary copies replicate data primary copy secondary copies using transaction logs ensures changes logged applied replicas collectively replicas house configuration data needed connecting managing troubleshooting avdwe determined incident caused degradation redo process one secondary copies servicing us geography caused failures access service resources workload picked monday redo subsystem readable secondary started getting stalled processing specific logical log records around transaction lifetime furthermore noticed spike read latency fetch next set log records needing redone identified improvement bugfix space prioritized along critical detection mitigation alertshow respondat utc september internal telemetry system raised alarms redo log one read replicas several hours behind engineering team immediately started investigating anomaly expedite mitigation manually failed database secondary region utc september customer impact began service monitoring detected diagnostics service behind processing events utc september determined degradation us geo database caused failures access service resources utc september automation attempted perform friendly geo failover move database region utc september friendly geo failover operation failed since could synchronize data geo secondary unavailable geo primary utc september mitigate issue fully engineering team manually started forced geofailover underlying database central us region utc september geofailover operation completed utc september customer impact mitigated engineering telemetry confirmed connectivity application discovery management issues service resolvedhow making incidents like less likely less impactfulfirst foremost improve detection high replication latencies secondary replicas identify problems like one quickly estimated completion october improve troubleshooting guidelines incorporating mechanisms perform mitigations without impact needed bring customers back online quickly estimated completion october avd sql teams partner together updating sql persisted version store pvs growth troubleshooting guideline incorporating new scenario estimated completion october address particular contention issue redo pipeline sql team identified potential new feature deploying october well repair item completed december derisk likelihood redo lagwe incorporate improved read log generation throttling nontransactional log records like pvs inserts add another potential mitigation ability help secondary replicas catchup estimated completion october finally work update database architecture telemetry control aka metadata stored separate databases estimated completion october customers make incidents like less impactfulfor information azure virtual desktop host pool object location data stored see httpslearnmicrosoftcomazurevirtualdesktopdatalocationscustomerinputfor information persisted version store pvs see httpslearnmicrosoftcomazureazuresqlaccelerateddatabaserecoverythe impact times represent full incident duration specific individual customer actual impact service availability varied customers resources guidance implementing monitoring understand granular impact httpsakamsazpirmonitoringfinally consider ensuring right people organization notified future service issues configuring azure service health alerts trigger emails sms push notifications webhooks httpsakamsashalertshow make incident communications usefulyou rate pir provide feedback using quick question survey httpsakamsazpirlgx,2
mitigated customer reports connectivity issues utilizing tracking id llvmd happenedbetween approximately utc september customers using atampt connect microsoft services experienced issues accessing services went wrong whyduring time microsoft services still availableautomated systems microsoft network began mitigating issue shifting traffic away utc resulting improvements microsoft customers confirmed atampt reverted change utc time started see signs recovery mitigating issuewhat happens nextcorrection previously communicated would publish post incident review pir incident investigating confirmed incident qualify pir microsoft services still available mitigation statement final communication incident details azure incidents qualify pirs refer httpsakamsazurepirs,2
post incident review pir azure resource manager control plane issues china north tracking id hvznvb watch azure incident retrospective video incident httpsakamsairhvznvbwhat happenedbetween cst september customers azure china regions seeing delays long running control plane operations including create update delete operations resources although delays affecting regions significant impact china north delays resulted various issues customers services utilizing azure resource manager arm including timeouts operation failuresazure databricks customers may encountered errors failures submitting job requestsazure data factory customers may experienced internal server errors running data flow activity acquiring data flow debug sessionsazure database mysql customers making createupdatedelete operations azure database mysql would seen requests completing expectedazure event hubs customers attempting perform read write operations may seen slow response timesazure firewall customers making changes updating policies azure firewall may experienced delays updates completedazure kubernetes service customers making cluster management operations scaling updates creatingdeleting clusters would seen requests completing expectedazure service bus customers attempting perform read write operations may seen slow response timesmicrosoft purview customers making createupdatedelete operations microsoft purview accountsresources would seen requests completing expectedother services leveraging azure resource manager customers may experienced service management operation failures using services inside resource groups china north went wrong whyazure resource manager control plane azure customers use perform crud create read update delete operations resources long running operations creating virtual machine background processing operation needs tracked certificate rotation processes tracking background operations repeatedly crashing background jobs still processed crashes caused significant delays increasing backlog jobs background jobs may contain sensitive data state encrypted application level certificate used encrypt jobs rotated inflight jobs reencrypted new metadata certificate rotation azure china regions exposed latent bug update process caused processes begin crashinghow respond cst september customer impact began cst september attempted increase worker instance count mitigate incident successful cst september continued investigate find contributing factors leading impact cst september identified correlation specific release versions increased error processing latency determined safe rollback version cst september began rolling back previous known good build one component china east validate mitigation approach cst september started see indications mitigation working intended cst september confirmed mitigation china east china north began rolling back safe version regions using safe deployment process took several hours cst september rollback completed monitoring confident service functionality fully restored customer impact mitigated making incidents like less likely less impactfulwe fixed latent code bug related certificate rotation completedwe improving monitoring telemetry related process crashing azure china regions completedfinally moving background job encryption process newer technology supports fully automated key rotation help minimize potential impact future estimated completion october customers make incidents like less impactfulfor missioncritical workloads customers consider multiregion geodiversity strategy avoid impact incidents like one predominantly impacted single region httpslearnmicrosoftcomtrainingmodulesdesignageographicallydistributedapplication httpslearnmicrosoftcomazurearchitecturepatternsgeodesmore generally consider evaluating reliability applications using guidance azure wellarchitected framework interactive wellarchitected review httpsakamsazpirwafthe impact times represent full incident duration specific individual customer actual impact service availability varied customers resources guidance implementing monitoring understand granular impact httpsakamsazpirmonitoringfinally consider ensuring right people organization notified future service issues configuring azure service health alerts trigger emails sms push notifications webhooks httpsdocsazurecnservicehealthalertsactivitylogservicenotificationsportalhow make incident communications usefulyou rate pir provide feedback using quick question survey httpsakamsazpirhvznvb,2
post incident review pir azure front door intermittent issues microsoft services using afd tracking id npq watch azure incident retrospective video incident httpsakamsairnpqwhat happenedbetween utc august customers experienced intermittent connection errors timeouts increased latency connecting microsoft services leverage azure front door afd issue impacted multiple geographies impacted services included azure devops ado azure virtual desktop avd well subset linkedin microsoft services incident specifically impacted microsofts firstparty services customers utilized microsoft services rely afd clarity incident impact azure customers services use afd directlywhat went wrong whyazure front door afd microsofts scalable platform web acceleration global load balancing content delivery operating locations worldwide serving million requests per second incident triggered internal service team routine configuration change afd profile modifying internalonly afd feature change included erroneous configuration file resulted high memory allocation rates subset afd servers specifically servers deliver traffic internal microsoft customer profilewhile rollout erroneous configuration file adhere safe deployment practices sdp process requires proper validating checks service change applied case afd proceeding additional regions situation observable failures configuration change able proceed represents gap afd validates change prevented timely autorollback offending configuration thus expanding blast radius impact regionsthe error configuration file caused resource exhaustion afds frontend servers resulted initial moderate impact afds availability performance initial impact availability triggered latent bug internal services client application caused aggressive request storm resulted x increase traffic volume expensive requests significantly impacted afds availability performance respond investigation identified offending configuration internal service triggered event initiated rollback configuration change fully restore impacted microsoft services utc customer impact began triggered configuration change utc internal monitoring detected issue alerted teams investigate utc initial firstparty services began failing away afd temporary mitigation utc identified configuration change caused impact started preparing roll back utc began rolling back change utc rollback change completed restoring afd request serving capacity utc customer impact fully mitigated utc firstparty services began routing traffic back afd mitigation declaredhow making incidents like less likely less impactfulas immediate repair item fixing bug caused aggressive request storm internal service teams client application development work completed pending rollout estimated completion august making improvements validate complexity resource overhead requirements internal customer configuration updates estimated completion september implementing enhancements afd data plane automatically disable performanceintensive operations specific configurations estimated completion october enhancing protection similar request storms determining dynamically resource intensive requests throttled prevent impact estimated completion december longer term augmenting safe deployment processes surrounding configuration delivery incorporate signals determine afd service health degradations caused erroneous configurations automatically rollback estimated completion march finally additional protection measure guard validation gaps investing capability automatically fall back last known good configuration state event global anomalies detected afds service health example response multiregion availability drop estimated completion march customers make incidents like less impactfulapplications use exponentialbackoff retry strategy may seen success immediate retry intervals high packet loss may also seen high packet loss retry conducted periods lower loss would likely succeeded details retry patterns refer httpslearnmicrosoftcomazurearchitecturepatternsretrymore generally consider evaluating reliability applications using guidance azure wellarchitected framework interactive wellarchitected review httpsdocsmicrosoftcomazurearchitectureframeworkresiliencyfinally ensure right people organization notified future service issues configuring azure service health alerts alerts trigger emails sms push notifications webhooks httpsakamsashalertshow make incident communications usefulyou rate pir provide feedback using quick question survey httpsakamsazpirnpq,2
post incident review pir azure front door connectivity issues multiple regions tracking id ktyhw watch azure incident retrospective video incident httpsakamsairktyhwwhat happenedbetween utc july subset customers experienced intermittent connection errors timeouts latency spikes connecting microsoft services leverage azure front door afd azure content delivery network cdn utc smaller set customers continued observe low rate connection timeouts beyond afd cdn downstream services rely also impacted including azure portal subset microsoft microsoft purview servicesafter routine mitigation distributed denialofservice ddos attack network misconfiguration caused congestion packet loss afd frontends context experience average ddos attacks per day mitigated automatically ddos protection mechanisms customers learn manage events httpsazuremicrosoftcomblogunwrappingtheholidayseasonadeepdiveintoazuresddosattacklandscape incident ddos attack merely trigger eventwhat went wrong whyazure front door afd microsofts scalable platform web acceleration global load balancing content delivery operating nearly locations worldwide including datacenters within azure regions edge sites afd azure cdn built platform defenses network application layer distributed denialofservice ddos attacks addition services rely azure network ddos protection service attacks network layer read protection mechanisms httpslearnmicrosoftcomazureddosprotectionddosprotectionoverview httpslearnmicrosoftcomazurefrontdoorfrontdoorddosbetween utc volumetric distributed tcp syn flood ddos attack occurred multiple azure front door cdn sites attack automatically mitigated azure network ddos protection service minimal customer impact time period automated ddos mitigations sent syn authentication challenges typical industry mitigating ddos attacks result small subset customers without retry logic applications may experienced connection failuresat around utc network ddos protection service disengaging resuming default traffic routing azure front door service network routes could updated within one specific site europe happened network control plane failures specific site due local power outage consequently traffic inside europe continued forwarded afd ddos protection services instead returning directly afd control plane failures caused related initial ddos trigger event isolation would caused impacthowever unrelated latent network configuration issue caused traffic outside europe routed ddos protection system within europe led localized congestion caused customers experience high latency connectivity failures across multiple regions vast majority impact mitigated utc resolved routing issue case initial period small subset customers without proper retry logic applications may experienced isolated connection failures utchow respond utc july impact started utc july azure portal team detected initial service degradation began investigate utc july network monitoring correlated portal incident underlying network issue one specific site europe networking engineers engaged support investigation utc july confirmed localized congestion engineers began executing standard playbook alleviate congestion including rerouting traffic utc july communications published investigating reports issues connecting microsoft services globally stated customers may experience timeouts connecting azure services utc july changes reroute traffic successfully mitigated impact time remaining impact isolated connection failures utc july investigating isolated connection failures identified device within europe properly obeying commands network control plane attracting traffic told stop attracting traffic utc july ordered network control plane reissue commands problematic device accessible described utc july started safe removal device network began scanning network potential issues utc july completed safe removal device network utc july customer impact mitigated confirmed availability returned preincident levelshow making incidents like less likely less impactfulwe already added missing configuration network devices ensure ddos mitigation issue one geography spread another completedwe enhancing existing validation monitoring azure network detect invalid configurations estimated completion november improving monitoring ddos protection service unreachable control plane still serving traffic estimated completion november customers make incidents like less impactfulfor customers azure front doorazure cdn products implementing retry logic clientside applications help handle temporary failures connecting service network resource mitigations network layer ddos attacks information refer recommended errorhandling design patterns httpslearnmicrosoftcomazurewellarchitectedresiliencyappdesignerrorhandlingimplementretrylogicmore generally consider evaluating reliability applications using guidance azure wellarchitected framework interactive wellarchitected review httpsdocsmicrosoftcomazurearchitectureframeworkresiliencyfinally ensure right people organization notified future service issues configuring azure service health alerts alerts trigger emails sms push notifications webhooks httpsakamsashalertshow make incident communications usefulyou rate pir provide feedback using quick question survey httpsakamsazpirktyhw,2
virtual machines startup failures due crowdstrike falcon agent update issue tracking id vtlx virtual machines customers may experienced unresponsiveness startup failures windows machines using crowdstrike falcon agent affecting onpremises various cloud platforms issue caused crowdstrike antivirus software update resulted windows os virtual machines experiencing bug check bsod entering continuous restart loop customer access guidance remain available main blog site httpsakamscsfalconvmrecoveryoptionscrowdstrikes technical pir outage found httpswwwcrowdstrikecomfalconcontentupdateremediationandguidancehub,1
post incident review pir storage impact multiple services central us tracking id kn watch azure incident retrospective video incident httpsakamsairknwhat happenedbetween utc july utc july customers may experienced issues multiple azure services central us region due azure storage availability event resolved utc july issue affected virtual machine vm availability caused downstream impact multiple azure services including service availability connectivity issues service management failures storage scale units hosting premium v ultra disk offerings affectedservices affected event included limited active directory bc app configuration app service application insights azure databricks azure devops azure resource manager arm cache redis chaos studio cognitive services communication services container registry cosmos db data factory database mariadb database mysqlflexible server database postgresqlflexible server entra id azure ad event grid event hubs iot hub load testing log analytics microsoft defender microsoft sentinel netapp files service bus signalr service sql database sql managed instance stream analytics red hat openshift virtual machinesmicrosoft cloud services across microsoft dynamics microsoft entra affected dependencies azure services impacted eventwhat went wrong whyvirtual machines persistent disks utilize disks backed azure storage part security defenseindepth measures storage scale units accept disk reads writes requests ranges network addresses known belong physical hosts azure vms run vm hosts added removed set addresses changes updated information published storage scale units region allow list large regions updates typically happen least per day july due routine changes vm host fleet update allow list generated publication storage scale units source information list read set infrastructure file servers structured one file per datacenter due recent changes network configuration file servers became inaccessible server generating allow list workflow generates list detect missing source files published allow list incomplete vm host address range information storage scale units region caused storage servers reject vm disk requests vm hosts information missingthe allow list updates applied storage scale units batches deploy region relatively short time window generally within hour deployment workflow check drops vm availability continued deploying region without following safe deployment practices sdp availability zone sequencing leading widespread regional impactazure sql database managed instancedue storage availability failures vms across various control data plane clusters failed result clusters became unhealthy resulting failed service management operations well connectivity failures azure sql db azure sql managed instance customers region within hour incident initiated failovers databases automatic failover policies part failover geosecondary elevated new primary failover group fog endpoint updated point new primary means applications connect fog endpoint recommended would automatically directed new region generally happened automatically less failedover databasesinstances issues completing failover databases converted geosecondary manual intervention period application route connection use fog endpoints would experienced prolonged writes old primary cause issue failover workflows getting terminated throttled due high demand service manager componentafter storage recovery central us databases recovered resumed normal operations however databases prolonged unavailability required additional mitigation ensure gateways redirected traffic primary node caused metadata information gateway nodes sync actual placement database replicas azure cosmos dbusers experienced failed service management operations connectivity failures control plane data plane rely azure virtual machine scale sets vmss use azure storage operating system disks inaccessible regionwide success rate requests cosmos db central us dropped lowest point vms running cosmos db service region impact spanned multiple availability zones infrastructure went progressively course minutes impact individual cosmos db accounts varied depending customer database account regional configurations consistency settings noted customer database accounts configured multiregion writes ie activeactive impacted incident maintained availability reads writes automatically directing traffic regions customer database accounts configured multiple read regions single write region outside central us configured session lower consistency impacted incident maintained availability reads writes directing traffic regions strong bounded staleness consistency levels configured write requests throttled maintain configured consistency guarantees impacting availability central us region put offline database account recovered unblocking writes behavior expected customer database accounts configured multiple read regions single write region central us region ie activepassive maintained read availability write availability impacted accounts failed regioncustomer database accounts configured single region multizonal single zone central us region impacted least one partition resided impacted nodes additionally customers observed errors impacting application availability even database accounts available serve traffic regions initial investigations reports point clientside timeouts due connectivity issues observed incident sdks ability automatically retry read requests another region upon request timeout depends timeout configuration details please refer httpslearnmicrosoftcomazurecosmosdbnosqlconceptualresilientsdkapplicationsazure devopsthe azure devops service experienced impact event multiple microservices impacted subset azure devops customers experienced impact regions outside central us due data metadata residing central us scale units azure devops offer regional affinity means customers tied single region within geography deepdive report specific azure devops impact published dedicated status page see httpsstatusdevazurecomhistoryprivileged identity management pimprivileged identity management pim experienced degradations due unavailability upstream services azure sql cosmos db well capacity issues pim deployed multiple regions including central us subset customers whose pim requests served central us region impacted failover another healthy region succeeded sql compute took longer cosmos db failover see cosmos db response section details issue resolved failover completedazure resource manager armin united states impact arm due unavailability dependent services cosmos db arm hub model storage global state like subscription metadata central us west us west central us mexico central regions backend state cosmos db central us calls arm going regions impacted central us cosmos db replicas marked offline arms use azure front door afd traffic shaping meant callers united states would seen intermittent failures calls routed degraded region regions partially degraded health checks take offline calls eventually succeeded retries routed different regions central us dependency would failed throughout primary incidents lifetime incident caused wider perceived impact arm across multiple regions due customers regions homing resources central usazure netappthe azure netapp files anf service impacted event causing new volume creation attempts fail netapp regions anf resource provider rp relies virtual network data utilization data used decide placement volumes provided azure dedicated rp drp platform create new volumes storage issue impacted data control plane several platformasaservice paas services used drp event globally affected anf drp utilization datas primary location central us could efficiently failover writes redirect reads replicas healthy regions recover drp engineering group worked utilization data engineers perform administrative failovers healthy regions recover anf control plane however time failover attempt could made storage service recovered region anf service recovered utc july respondas allow list update published central us region service monitoring began detect vm availability dropping engineering teams engaged due widespread impact primary symptom initially appearing drop vm disk traffic storage scale units took time rule possible causes identify incomplete storage allow list trigger issues correlated halted allow list update workflow worldwide engineering team updated configurations storage scale units central us region restore availability completed utc july due scale failures downstream services took additional time recover following mitigation underlying storage issueazure sql database managed instancewithin one minute sql unavailability sql monitoring detected unhealthy nodes login failures region investigation mitigation workstreams established customers advised consider putting action disaster recovery dr strategies recommend customers manage failovers databases microsoft initiated failovers authorized customers sql databases became available within two hours storage recovery available next three hours less required additional mitigations achieve availability restarted gateway nodes refresh caches ensure connections routed right nodes forced completion failovers completedazure cosmos dbto mitigate impacted multiregion activepassive accounts write region central us region initiated failover control plane right impact started completed failover customer accounts utc july minutes impact detected average failover individual accounts took approximately minutes failovers completed without additional mitigations completing utc july hours minutes impact detected remaining database accounts required additional mitigations complete failovers cancelled graceful switch region operations triggered customers via azure portal preventing servicemanaged failover triggered microsoft complete also force completed failovers complete database accounts longrunning control operation lock service metadata removing lock storage recovery initiated backend nodes started come online various times cosmos db declared impacted partitions unhealthy second workstream parallel failovers focused repairs impacted partitions customer database accounts stayed central us region single region accounts availability restored gt utc databases impact mitigated approximately utcas availability impacted customer accounts restored third workstream focused repairs backend nodes required prior initiating failback multiregion accounts failback database accounts previously failedover microsoft started utc repairs progressed continued failback brought central us region online read region database accounts customers could switch write region central us desired subset customer database accounts encountered issues failback delayed return central us issues addressed required redo failback microsoft firstly subset mongodb api database accounts accessed certain versions mongodb drivers experienced intermittent connectivity issues failback required us redo failback coordination customers secondly subset database accounts private endpoints failback central us experienced issues connecting central us requiring us redo failbackdetailed timeline events utc july customer impact began utc july service monitoring detected drop vm availability utc july initial targeted messaging sent subset customers via service health azure portal services began become unhealthy utc july customer impact cosmos db began utc july customer impact azure sql db began utc july monitoring detected availability drop cosmos db sql db sql db managed instance utc july cosmos db control plane failover initiated utc july sql db impact correlated storage incident investigation utc july deployment incomplete allow list completed vm availability region reaches lowest level experienced incident utc july cosmos db control plane failover central us region completed initiated service managed failover impacted activepassive multiregion customer databases utc july initial public status page banner posted investigating alerts central us region utc july deployments central us region paused utc july initial broad notifications sent via service health known services impacted time utc july compute buildout deployments paused regions utc july azure sql db sql managed instance geofailover completed databases failover group policy set microsoft managed utc july partial storage allow list confirmed underlying cause utc july control plane availability improving azure resource manager arm utc july azure storage began updating storage scale unit configurations restore availability utc july customers downstream services began seeing signs recovery utc july cosmos db account failovers completed utc july azure sql db sql managed instance databases started recovering mitigation process underlying storage incident progressing utc july impacted compute resources recovered utc july updated configuration completed storage scale units central us region restoring availability azure storage scale units downstream service recovery restoration isolated customer reported issues continue utc july cosmos db availability requests succeeded region sustained recovery gt utc july azure sql databases recovered utc july sql db team identified additional issues gateway nodes well failovers completed utc july cosmos db started failback database accounts failed microsoft central us infrastructure repair progress allowed utc july sql db team started applying mitigations impacted databases utc july cosmos db availability requests succeeded central us region sustained recovery gt utc july sql db team forced completion incomplete failovers utc july sql db team completed gateway node restarts utc july cosmos db mitigated databases utc july sql db team completed additional verifications ensure impacted databases region expected states utc july sql db sql managed instance issue mitigated databases verified recoveredhow making incidents like less likely less impactfulstorage fix allow list generation workflow detect incomplete source information halt completedstorage add alerting requests storage rejected allow list checks completedstorage change allow list deployment flow serialize availability zones storage types increase deployment period hours completedstorage add additional vm health checks autostop allow list deployment workflow estimated completion july sql reevaluate policy initiate microsoft managed failover sql failover groups reiterate recommendation customers manage failovers estimated completion august cosmos db improve failback workflow affecting subset mongodb api customers causing certain versions mongodb drivers fail connection regions estimated completion august cosmos db improve failback workflow database accounts private endpoints experiencing connectivity issues central us failback enabling successful failback without requiring microsoft redo process estimated completion august storage storage dataplane firewall evaluation detect invalid allow list deployments continue use lastknowngood state estimated completion september azure netapp files improve logic several monitors ensure timely detection appropriate classification impacting events estimated completion september azure netapp files additional monitoring several service metrics help detect similar issues correlate events quickly estimated completion september sql improve service fabric cluster location change notification mechanisms reliability load estimated completion phases starting october sql improve robustness geofailover workflows address completion issues estimated completion phases starting october cosmos db eliminate issues caused delay failovers estimated completion november azure devops working ensure customer metadata migrated appropriate geography help limit multigeography impact estimated completion january azure netapp files decouple regional readwrites help reduce blast radius single region class issue estimated completion january azure netapp files evaluate use caching reduce reliance utilization data persisted stores help harden service resilience similar scenarios estimated completion january cosmos db adding automatic perpartition failover multiregion activepassive accounts expedite incident mitigation automatically handling affected partitions estimated completion march sql cosmos db azure virtual machines working resilient ephemeral os disk improvement improves vm resilience storage incidents estimated completion may customers make incidents like less impactfulconsider implementing disaster recovery strategy azure sql database httpslearnmicrosoftcomazureazuresqldatabasedisasterrecoveryguidanceviewmore generally consider evaluating reliability applications using guidance azure wellarchitected framework interactive wellarchitected review httpsakamsazpirwafthe impact times represent full incident duration specific individual customer actual impact service availability varied customers resources guidance implementing monitoring understand granular impact httpsakamsazpirmonitoringfinally consider ensuring right people organization notified future service issues configuring azure service health alerts trigger emails sms push notifications webhooks httpsakamsazpiralertshow make incident communications usefulyou rate pir provide feedback using quick question survey httpsakamsazpirkn,0
